entity,algorithm,axis,level,rho_full,jac5,jac10
Astacus astacus,xgboost,lowacc,3,0.6463780526082042,0.6666666666666666,0.3333333333333333
Astacus astacus,xgboost,lowacc,3,0.6428254771888559,0.42857142857142855,0.3333333333333333
Astacus astacus,xgboost,lowacc,3,0.6986969519097062,0.6666666666666666,0.5384615384615384
Astacus astacus,xgboost,lowacc,3,0.6549688527079167,0.6666666666666666,0.42857142857142855
Astacus astacus,xgboost,lowacc,3,0.6827033472922911,0.42857142857142855,0.3333333333333333
Astacus astacus,xgboost,lowacc,3,0.6753084141363423,0.6666666666666666,0.42857142857142855
Astacus astacus,xgboost,lowacc,3,0.6563147521658904,0.6666666666666666,0.3333333333333333
Astacus astacus,xgboost,lowacc,3,0.6750692748807121,0.42857142857142855,0.3333333333333333
Astacus astacus,xgboost,lowacc,3,0.745376237327405,0.6666666666666666,0.5384615384615384
Astacus astacus,xgboost,lowacc,3,0.6178858023056423,0.42857142857142855,0.42857142857142855
Astacus astacus,xgboost,lowacc,3,0.5923537042875274,0.42857142857142855,0.3333333333333333
Astacus astacus,xgboost,lowacc,3,0.6937165428815962,0.42857142857142855,0.3333333333333333
Astacus astacus,xgboost,lowacc,3,0.6400739737454115,0.42857142857142855,0.42857142857142855
Astacus astacus,xgboost,lowacc,3,0.6895439723790803,0.6666666666666666,0.5384615384615384
Astacus astacus,xgboost,lowacc,3,0.6484588927514819,0.6666666666666666,0.25
Astacus astacus,xgboost,lowacc,3,0.6013894373559217,0.42857142857142855,0.3333333333333333
Astacus astacus,xgboost,lowacc,3,0.6942431013878911,0.42857142857142855,0.5384615384615384
Astacus astacus,xgboost,lowacc,3,0.6694191346090401,0.42857142857142855,0.3333333333333333
Astacus astacus,xgboost,lowacc,3,0.7046502227812417,0.25,0.42857142857142855
Astacus astacus,xgboost,lowacc,3,0.6684326181464044,0.42857142857142855,0.42857142857142855
Astacus astacus,xgboost,lowacc,3,0.6776429309184018,0.6666666666666666,0.5384615384615384
Astacus astacus,xgboost,lowacc,3,0.690790235376282,0.42857142857142855,0.25
Astacus astacus,xgboost,lowacc,3,0.6552187545574801,0.6666666666666666,0.42857142857142855
Astacus astacus,xgboost,lowacc,3,0.6901919478418093,0.25,0.42857142857142855
Astacus astacus,xgboost,lowacc,3,0.6479522832722601,0.6666666666666666,0.5384615384615384
Astacus astacus,xgboost,lowacc,10,0.6709948968394007,0.6666666666666666,0.42857142857142855
Astacus astacus,xgboost,lowacc,10,0.6757878762603218,0.42857142857142855,0.3333333333333333
Astacus astacus,xgboost,lowacc,10,0.6115083238647299,0.25,0.3333333333333333
Astacus astacus,xgboost,lowacc,10,0.6746739902308276,0.42857142857142855,0.3333333333333333
Astacus astacus,xgboost,lowacc,10,0.6132777831774919,0.25,0.42857142857142855
Astacus astacus,xgboost,lowacc,10,0.6368635330855772,0.42857142857142855,0.3333333333333333
Astacus astacus,xgboost,lowacc,10,0.6472882899814361,0.25,0.42857142857142855
Astacus astacus,xgboost,lowacc,10,0.6657577770440468,0.42857142857142855,0.3333333333333333
