algorithm,track,axis,level,n_reps_ok,auc_mean,auc_lo,auc_hi,tss_mean,tss_lo,tss_hi,brier_mean,brier_lo,brier_hi,sensitivity_mean,sensitivity_lo,sensitivity_hi,specificity_mean,specificity_lo,specificity_hi
random_forest,upstream_only,lowacc,20,30,0.6638717787387218,0.6490410700141055,0.6775449187293237,0.21651860852182972,0.18944003755151068,0.24231753750839555,0.20464027047872188,0.20115404383597563,0.20814386678530933,0.536839023186037,0.5183651339506296,0.5539701134446696,0.6796795853357926,0.6478042979773592,0.7108072280196122
random_forest,upstream_only,lowacc,35,30,0.6473071496425076,0.6343856279297138,0.6599651169670228,0.1830648325095038,0.16236006559825555,0.20494072022208895,0.21305442946466963,0.20968573364259638,0.21630026818550052,0.5055749728586864,0.48772954722502454,0.5253914210005113,0.6774898596508174,0.6461696624967797,0.7094037101155869
random_forest,upstream_only,lowacc,50,30,0.6414014998216516,0.6252544198666106,0.65509412257266,0.15056598895960321,0.12162786996598933,0.1769976440367703,0.22286181517016387,0.21979705212753653,0.22610978434582138,0.6016592691444451,0.563598439077477,0.6383942249154454,0.5489067198151579,0.5007013880322859,0.5970518993532089
random_forest,upstream_only,snapping,0,50,0.701289493455366,0.6860843172908355,0.7160406722943004,0.2734966724745125,0.24636290207728434,0.3007738472787941,0.1954717610937822,0.1929554770805774,0.19802658027669243,0.6207583144393201,0.6091651614158812,0.6317982780863619,0.6527383580351926,0.6272513121239083,0.6783092152841639
random_forest,upstream_only,snapping,5,50,0.700453705089635,0.68377028513374,0.7158874429911608,0.27857696218206873,0.2519819958125052,0.3060669231992929,0.1945670990172287,0.19139514502233365,0.19798267012099047,0.6146671536664279,0.6016962884704539,0.6272805518393875,0.6639098085156409,0.6403800924976448,0.6869198344835709
random_forest,upstream_only,snapping,10,50,0.7078109760376029,0.6911714525799082,0.7238057402881218,0.30824941497949954,0.27938126797809415,0.33607975418230934,0.1919804209639601,0.18889171204972732,0.19523097947744325,0.6201809590117702,0.6063738675599012,0.6335046498797923,0.6880684559677293,0.6581259977237806,0.7178512841774707
random_forest,upstream_only,snapping,20,30,0.6881761295287893,0.6704723901306117,0.7043414693708828,0.25543609534304396,0.21807616633968144,0.29289001585110347,0.19519162014412697,0.19259307578731136,0.19791732405470758,0.5867827699425976,0.5655755378826198,0.6063032902052247,0.6686533254004465,0.6340412128446047,0.7010445172393238
random_forest,upstream_only,snapping,35,30,0.6884278718288959,0.6627094275953148,0.7101256397370181,0.27305624366405,0.2311326808986732,0.31051069286174887,0.18810275860303538,0.18461750458320575,0.19149573455495586,0.580934802812039,0.5687793143457991,0.5925868808003294,0.692121440852011,0.6534108768599383,0.7281658620328089
random_forest,upstream_only,snapping,50,30,0.7040433605706081,0.6868448146737437,0.7206707616105762,0.29344928371537005,0.2593035720186773,0.3277233311580654,0.18690310271369143,0.18410352542564612,0.18967748691324723,0.5556684327654943,0.5440102894219498,0.5658172872831598,0.7377808509498757,0.7000140236089658,0.7716064846313732
xgboost,combined,lowacc,0,50,0.7677534899990306,0.7502566894985421,0.7835567654311182,0.37080048689494516,0.34704061863963015,0.39372400052575945,0.16131496085556882,0.15529880817502725,0.16758026538484558,0.7986284925013285,0.7848566159058623,0.8116617748031277,0.5721719943936168,0.5452391727118943,0.5985771515724769
